user,password,localidad,edad,musica,comida,peliculas,videojuegos,politica,deportes,mascotas,libros,tecnologia,memes
Abubakar Shaikh,password123,Lima,32,1,1,0,1,0,1,0,1,0,0
Aslam Kakkar,password123,Puno,18,0,0,0,1,0,0,1,0,1,0
Asif Khan Baloch,password123,Huancavelica,19,1,1,1,0,0,0,0,0,0,1
Xavier,password123,Cuzco,30,0,1,1,1,1,1,1,0,1,1
Muhammad Rehan,password123,Ucayali,33,0,1,0,0,0,0,0,0,1,0
Ubeid,password123,La Libertad,36,1,1,1,1,1,1,0,1,1,0
Neveh,password123,Tacna,31,1,0,1,0,0,0,1,0,0,0
Dennis,password123,Ayacucho,29,0,0,1,1,1,1,1,0,0,0
Kimberley,password123,Madre de Dios,27,1,0,0,1,1,1,1,0,0,0
Iqbal,password123,Pasco,27,1,1,1,1,0,1,1,1,0,1
Suramto,password123,Junín,27,1,1,1,1,1,0,0,0,1,0
Callum,password123,Tacna,32,0,0,0,1,0,1,0,0,0,0
Shoaib,password123,Ica,30,0,1,0,0,0,1,1,0,1,0
Jinsar Ali Shar,password123,Piura,19,0,0,0,0,1,1,1,0,0,1
Meri Zindage Ho Tum,password123,Ayacucho,24,1,1,1,0,1,1,1,0,0,1
Donald,password123,Moquegua,24,0,0,1,1,1,1,0,0,1,1
Saba Jutt,password123,Cuzco,31,1,1,1,0,1,1,1,1,1,0
Umar,password123,Puno,40,0,1,0,1,1,0,0,1,1,0
Mohammed,password123,Pasco,18,0,0,1,1,0,0,0,1,0,0
Paulina,password123,Lima,38,1,0,0,0,0,0,0,0,0,1
Affaan,password123,Huancavelica,38,1,1,0,1,0,0,0,0,0,1
Syed Kashif,password123,Moquegua,37,1,1,0,1,1,0,1,1,1,1
Khurrum Shehzad,password123,Tumbes,21,0,1,0,0,0,0,0,0,1,0
Bekham,password123,Cajamarca,28,1,1,0,1,1,1,1,0,0,0
Hania,password123,Apurímac,23,1,1,1,1,0,1,1,0,1,1
Farah Samad,password123,Callao,25,0,1,0,0,1,1,1,0,1,1
Shahzaib Jutt,password123,Huancavelica,26,1,0,0,0,0,0,1,0,0,1
Ali Ghufron,password123,Junín,34,1,1,0,0,1,1,1,0,0,1
Lauren,password123,Lima,22,1,1,0,0,0,1,1,1,0,0
Miley,password123,Puno,30,0,1,1,1,0,1,1,0,0,0
Zak,password123,Huánuco,25,0,0,0,0,0,0,1,1,1,0
Evie,password123,Callao,30,1,0,0,0,1,1,1,0,0,1
Destor,password123,San Martín,21,0,0,0,0,1,1,1,1,1,1
Liberty,password123,Arequipa,36,1,1,0,0,1,1,0,0,1,1
Monica,password123,Apurímac,27,0,1,0,0,0,1,0,1,1,1
Denno,password123,Madre de Dios,34,1,1,1,1,1,0,0,1,1,1
Robbie,password123,Ucayali,32,0,0,0,1,1,0,0,0,0,0
Aima,password123,Junín,20,1,0,0,0,0,1,1,1,0,1
Marwan,password123,Moquegua,38,1,1,0,0,1,0,1,1,1,1
Faisal Khan,password123,Loreto,24,0,0,1,1,0,1,1,1,1,1
Tyker,password123,Huancavelica,25,0,1,0,0,1,1,1,1,1,1
Hollie,password123,Ucayali,30,1,1,1,0,1,0,0,1,1,0
Eloise,password123,La Libertad,36,0,0,1,0,0,0,1,0,0,1
Gomez,password123,Pasco,40,1,1,1,0,1,1,0,1,1,0
Brianna,password123,Junín,21,1,0,1,1,0,1,0,1,0,1
Larissa,password123,Huánuco,33,0,0,1,1,0,0,1,1,1,1
Umair Khan,password123,La Libertad,21,0,0,1,1,1,0,1,0,0,1
Mhammad Nouman,password123,Tumbes,29,0,0,1,1,1,1,1,1,0,0
Archie,password123,La Libertad,26,0,1,1,1,1,0,1,1,0,1
Zachariah,password123,La Libertad,31,0,1,0,1,1,0,1,0,1,0
Matilda,password123,Huancavelica,34,1,0,1,1,0,0,0,0,1,1
Armaan Jutt,password123,Ica,25,0,1,0,1,1,0,0,0,1,0
Harriet,password123,Moquegua,30,0,0,0,0,1,1,0,1,0,0
Milo,password123,Tumbes,39,0,1,0,0,0,1,0,0,0,1
Arwen,password123,Cuzco,32,1,0,1,0,1,1,1,0,1,1
Chopra,password123,Ica,22,1,0,0,1,0,0,0,1,1,1
Irum,password123,La Libertad,19,1,0,0,0,0,0,1,1,1,0
Alice,password123,Huancavelica,40,0,0,0,1,1,0,0,1,0,0
Sonny,password123,Junín,31,1,0,1,1,0,1,0,0,0,0
Sara,password123,Loreto,33,0,1,1,0,0,0,0,1,0,1
Jared,password123,Pasco,39,1,0,0,1,0,0,1,0,1,0
Blanka,password123,Puno,30,0,1,0,1,0,0,1,1,0,0
Jhonny,password123,Ucayali,18,1,0,0,0,0,1,1,1,1,0
Charles,password123,Puno,19,1,1,0,1,1,0,1,0,1,0
Fredrick,password123,Ayacucho,31,1,0,1,1,1,0,1,1,1,0
Jakub,password123,Huánuco,19,0,0,0,0,1,0,1,1,1,0
Zara,password123,Amazonas,33,0,0,1,1,1,0,1,0,0,1
Mariyam,password123,Áncash,35,0,1,0,0,0,0,0,0,0,0
Jason,password123,Áncash,36,0,0,1,1,1,1,0,1,0,1
Shayan,password123,Loreto,21,1,0,0,1,1,1,1,0,1,0
Muhammad Musharaf,password123,Moquegua,27,0,1,1,0,1,0,0,0,0,1
Kieran,password123,Apurímac,25,1,1,0,0,1,0,0,0,0,1
Niaz Ahmed,password123,Junín,25,1,1,1,1,1,0,1,0,0,0
Annie,password123,La Libertad,40,1,1,0,0,1,1,1,1,0,0
Saba,password123,Puno,21,1,0,0,0,0,0,1,0,0,1
Tommy,password123,Arequipa,24,0,1,1,0,1,1,1,1,0,0
Vidiya,password123,Lambayeque,25,0,0,0,0,1,0,0,0,0,1
Saaqib,password123,Apurímac,20,1,1,0,1,0,1,1,0,0,1
Zeeshan Khan,password123,San Martín,30,0,0,0,1,0,0,0,0,1,0
Jax,password123,Arequipa,24,1,1,0,0,1,1,0,0,1,0
Zoha,password123,Cuzco,26,1,0,1,1,1,0,1,1,1,1
Mohsin Khan,password123,Huancavelica,33,0,0,0,0,1,0,1,0,0,1
Hari Kuncoro,password123,Loreto,30,0,0,0,1,0,0,0,0,0,0
Umar Patek,password123,Huánuco,21,0,0,1,1,1,1,1,1,0,0
Paige,password123,Pasco,20,0,0,1,0,1,0,0,0,1,1
Mirza Khan,password123,Junín,32,1,0,0,1,1,0,1,1,0,1
Sardar Saad,password123,Puno,34,1,1,0,0,1,0,0,0,1,0
Khurrum Gill,password123,Loreto,39,0,1,1,0,0,0,1,1,1,1
Muhammad Usman,password123,Tacna,26,0,0,0,0,0,0,0,0,1,0
Marco,password123,Cuzco,22,1,0,0,0,0,1,0,1,0,1
Malcum,password123,Callao,22,0,0,0,0,1,1,0,0,1,1
Behraam,password123,Tumbes,37,0,1,1,0,0,1,1,1,0,0
Javeed Qazi,password123,Huancavelica,21,0,1,1,0,0,0,0,1,1,1
Lema,password123,Apurímac,31,1,1,1,0,1,1,0,0,1,1
tillie,password123,Amazonas,35,1,0,0,0,1,0,0,0,1,0
Thaliya,password123,Huancavelica,28,1,1,0,0,0,1,1,0,0,1
Akram,password123,Lima,28,0,0,1,1,0,1,1,1,0,1
Asensio,password123,Ucayali,28,1,1,0,0,0,0,0,0,0,1
Kashif Karamt,password123,Puno,37,0,1,0,1,0,1,1,0,1,1
Isabelle,password123,Pasco,25,0,0,1,0,0,0,0,0,0,0
Elsie,password123,Áncash,39,0,0,0,1,1,0,0,0,1,1
Saffron,password123,Cuzco,37,0,0,1,1,1,0,1,0,0,0
Adnan,password123,Pasco,37,1,1,0,1,0,1,0,1,1,0
Ayub,password123,Lima,37,1,1,1,0,0,1,0,1,1,0
Sundas,password123,Tumbes,38,0,1,1,1,0,1,0,0,0,1
Qotadah,password123,Huancavelica,35,0,1,1,1,1,1,1,1,0,0
Lilly,password123,La Libertad,20,0,1,0,1,1,0,0,0,1,0
Samuel,password123,Apurímac,37,1,1,1,0,0,0,1,1,0,0
Naja,password123,Cuzco,38,1,1,0,1,0,1,1,0,1,0
Madeleine,password123,Madre de Dios,18,0,1,0,1,1,0,0,0,1,1
Abby,password123,Huancavelica,40,1,0,0,1,0,0,0,0,1,0
Hashim Jutt,password123,Ica,39,1,1,1,1,1,0,0,1,1,0
Saim Shah Hamdani,password123,La Libertad,18,0,1,0,0,0,0,1,0,0,0
Taha Sheikh,password123,Moquegua,22,1,1,1,0,0,0,1,0,0,0
Dextor,password123,Huancavelica,37,0,1,0,0,0,1,1,0,0,1
Muhammad Shahzain,password123,La Libertad,32,0,0,1,1,0,1,0,0,0,1
Ahmad Sayid Maulana,password123,Ucayali,29,0,0,0,1,0,0,1,1,0,0
Sofia,password123,Ayacucho,26,0,1,0,1,1,0,1,1,0,0
Emma,password123,Junín,26,1,0,0,0,0,0,1,1,0,1
Gabriel,password123,Loreto,34,1,1,1,1,0,0,1,0,0,1
Ariella,password123,Ucayali,23,0,0,0,0,0,0,1,1,1,1
Waseem,password123,San Martín,24,0,0,1,0,0,1,1,0,0,0
Ahsan Butt,password123,Lambayeque,30,1,1,1,1,0,1,1,1,1,1
Mehak,password123,Huánuco,23,1,1,1,1,1,1,0,1,1,1
Ronnie,password123,Amazonas,39,1,1,1,0,0,1,0,0,0,0
Jesse,password123,Tacna,25,0,1,0,1,0,0,0,0,0,1
Homer,password123,Ucayali,19,0,1,0,1,0,0,0,0,1,0
Arslan,password123,Apurímac,32,0,0,1,0,0,1,0,0,0,1
Imogen,password123,Callao,31,1,1,1,1,0,0,1,0,0,1
Yaqoob,password123,Apurímac,39,1,0,0,1,0,1,1,0,0,1
Kami Khokar,password123,La Libertad,37,1,1,1,1,0,1,1,1,1,0
Mia,password123,Arequipa,26,1,0,1,1,1,0,1,1,0,1
Abdul Rafeh,password123,Lima,27,1,0,1,1,1,1,0,1,1,0
Lola,password123,Amazonas,21,0,0,0,0,1,0,0,1,0,0
Brandon,password123,Pasco,25,0,0,1,1,1,0,0,1,1,1
Dashing Hunk II,password123,Callao,33,1,1,1,1,1,0,0,1,0,1
Engr Sid Awan,password123,Huancavelica,28,1,0,1,0,0,1,0,1,0,0
Kai,password123,Madre de Dios,25,0,1,1,1,1,0,0,1,1,1
Asghar,password123,Ucayali,31,0,0,0,1,0,1,1,1,1,1
Shafaq,password123,Lima,22,1,1,1,1,1,0,1,1,1,0
Douglas,password123,Huancavelica,35,1,1,0,0,0,1,1,0,1,0
Azhar Sadat,password123,Piura,38,0,0,1,0,0,0,0,0,0,0
Kayla,password123,Lima,20,0,0,1,0,1,1,0,0,0,0
Gabriela,password123,La Libertad,20,1,1,1,1,0,0,0,1,1,0
Hanna,password123,Puno,23,0,0,1,0,1,0,1,1,1,1
Jamil,password123,Cuzco,36,1,1,0,0,0,0,1,1,1,0
Umair Hassan,password123,Arequipa,33,0,0,1,0,1,0,1,0,1,0
Morgab,password123,Huancavelica,18,0,1,1,1,1,1,0,0,1,0
Purnama Putra,password123,Tumbes,38,0,0,1,0,1,0,0,0,0,1
Saskia,password123,Apurímac,32,1,0,0,1,1,1,1,0,0,0
Saptono,password123,Ucayali,29,1,1,0,1,1,0,1,1,1,0
Abdul Basit,password123,Tacna,21,0,1,1,0,0,0,1,1,1,1
Selena,password123,Apurímac,38,1,1,0,1,1,0,1,0,0,0
Syed Bilal,password123,Cuzco,38,1,1,1,0,0,1,0,1,1,1
Lottie,password123,Callao,37,1,1,1,0,0,1,0,1,0,0
Zarmeena,password123,Apurímac,25,0,0,0,1,1,0,0,1,1,1
Evelina,password123,Pasco,23,1,1,0,0,1,1,0,1,1,0
Luisa,password123,Ica,30,0,0,1,0,0,0,0,0,1,0
Poppy,password123,Pasco,19,1,0,1,0,0,1,0,1,1,1
Usuf Khan,password123,Cuzco,30,0,1,1,1,1,1,1,0,1,1
Laila,password123,Ayacucho,37,1,0,1,1,1,1,1,1,1,0
Bilwal,password123,Tacna,39,1,0,1,0,0,1,0,1,0,1
Rowan,password123,Cuzco,19,1,0,1,0,0,0,1,0,1,1
Darca,password123,Áncash,40,0,1,1,0,1,0,0,0,0,1
Oscar,password123,Amazonas,32,0,1,0,0,1,0,1,1,1,1
Sarfaz,password123,Madre de Dios,24,0,0,0,0,1,0,1,1,0,1
Keely,password123,Cuzco,27,1,1,0,0,1,0,1,0,1,0
Zainab,password123,Moquegua,33,1,1,0,0,1,1,0,1,1,0
Eden,password123,Lambayeque,27,1,0,0,0,1,1,0,0,1,1
Shazi harry,password123,Huancavelica,18,0,0,1,1,1,0,1,1,1,0
Mason,password123,Tumbes,19,0,1,1,1,0,0,0,1,0,0
Andre,password123,Junín,20,1,1,1,1,0,1,0,1,1,1
Kattie,password123,Ica,29,0,1,0,0,0,1,0,0,1,0
Irfan Haider,password123,Madre de Dios,33,0,0,0,1,1,1,0,1,1,1
Jenson,password123,Tumbes,36,0,0,1,0,0,0,1,0,1,0
Heidi,password123,Pasco,32,1,0,1,1,1,0,0,1,0,1
Frankie,password123,Tumbes,26,1,0,0,0,1,0,1,0,1,0
Michael,password123,Puno,18,0,1,1,1,1,0,1,1,1,0
Jordi Alba,password123,Ica,18,1,1,1,0,0,0,0,1,1,1
Sajjad Sikandar,password123,Callao,18,0,0,0,1,0,0,0,0,1,0
Abdul Malik,password123,Ayacucho,33,1,0,0,1,1,1,1,1,0,1
Enceng Kurnia,password123,Ayacucho,25,0,0,0,1,0,0,0,1,0,0
Filip,password123,Puno,30,0,0,1,0,0,0,1,1,1,1
Xanthe,password123,Arequipa,38,1,0,0,1,0,1,1,1,1,0
Saurez,password123,Lambayeque,18,0,0,1,0,0,0,0,1,1,1
Faheem Akhtar,password123,Pasco,28,1,0,0,0,1,0,0,1,1,0
Chandra,password123,Lima,23,1,0,1,1,0,0,0,1,1,1
Dylan,password123,Apurímac,33,1,1,0,0,1,0,0,1,1,1
Miya,password123,La Libertad,28,1,1,1,1,0,0,1,1,1,0
Jonathan,password123,Cajamarca,35,0,0,0,1,1,1,1,0,1,1
Mohail,password123,Tacna,39,0,0,0,0,0,1,1,1,1,1
Saibi Malik,password123,Madre de Dios,38,0,1,1,1,1,0,0,0,1,0
Amir Chatta,password123,Ucayali,28,0,1,1,1,0,1,0,0,1,1
Jaden,password123,Junín,25,0,1,0,0,1,1,1,1,1,1
Raani,password123,Ayacucho,18,0,0,0,0,1,0,0,1,1,1
Ghulam Hyder Samejo,password123,Cajamarca,36,0,0,1,1,1,1,0,0,1,0
Arshad Khan,password123,Áncash,27,1,1,0,0,0,1,0,1,1,0
Aceng Kurnia,password123,Moquegua,25,1,0,1,1,0,0,0,1,0,0
Willow,password123,Junín,18,1,0,1,1,0,1,0,0,0,0
Ellis,password123,Cajamarca,35,0,0,1,0,0,1,1,0,1,0
Hassan Gull,password123,Cuzco,28,1,0,0,0,1,0,1,1,0,0
George,password123,Tacna,36,1,1,1,1,0,0,1,0,1,0
Bradley,password123,Huancavelica,33,1,1,1,0,0,1,1,1,1,1
Khusheed,password123,Loreto,18,1,0,1,1,1,1,1,1,0,1
Muhammad Khalil,password123,San Martín,26,0,1,1,1,0,0,0,0,0,0
Harun,password123,Huánuco,34,0,1,1,1,0,0,0,0,1,0
Asha,password123,Ayacucho,21,1,1,0,1,0,1,1,1,1,1
Maud,password123,Amazonas,26,0,0,0,0,1,0,1,1,1,1
Azad Bhutto,password123,Tacna,23,1,1,0,0,0,0,0,0,1,0
Summer,password123,Loreto,18,0,0,0,0,1,1,0,1,1,1
Emme,password123,Lambayeque,36,0,0,1,0,1,0,1,1,0,1
Thatcher,password123,Madre de Dios,40,0,1,0,1,0,1,1,0,1,0
Joni Achmad Fauzan,password123,Tacna,37,1,1,0,0,1,1,1,0,0,0
Esther,password123,Ucayali,31,0,0,1,0,1,1,1,0,1,1
Isobelle,password123,Amazonas,24,0,0,1,1,0,1,0,1,0,1
Usman,password123,Tumbes,22,1,0,0,0,1,1,0,0,0,1
Guriya,password123,Tumbes,19,0,1,0,1,1,1,0,0,1,0
Peter,password123,Callao,31,1,1,1,1,1,1,1,0,0,0
Sylvia,password123,Ica,27,1,1,1,0,1,1,0,0,0,0
Sanam Butt,password123,Ucayali,21,1,0,0,0,0,1,1,0,0,1
Dulmatin,password123,Huánuco,40,1,0,0,0,0,1,0,1,0,1
Jasmine,password123,Lambayeque,19,1,0,1,1,0,0,0,1,0,0
Naveed,password123,Ucayali,22,0,0,1,1,0,1,1,1,0,0
Irfan,password123,Apurímac,18,1,0,1,1,1,0,1,1,1,1
Hugo,password123,Tumbes,23,0,1,1,1,1,1,1,0,0,0
Haider,password123,Loreto,29,0,1,1,1,1,1,0,1,1,1
Ricky,password123,Madre de Dios,40,0,0,0,0,1,0,1,0,0,1
Alexis,password123,Ayacucho,27,0,1,0,1,0,1,1,1,1,1
Benedict,password123,Junín,40,1,1,0,1,1,1,0,0,0,0
Busquets,password123,Ucayali,22,0,1,0,1,0,1,0,1,0,0
Maria,password123,Ucayali,37,0,1,0,0,0,1,0,0,0,1
Doria,password123,Apurímac,32,1,0,0,0,1,1,0,0,1,1
Abdullah Khan,password123,Loreto,29,0,1,0,1,1,1,0,0,1,1
Miolly,password123,Amazonas,18,1,1,0,0,0,0,0,0,1,0
Jenna,password123,Cuzco,19,0,0,0,1,0,0,1,1,1,1
Suleman,password123,Tacna,38,1,0,1,0,1,0,1,1,1,1
Liam,password123,Arequipa,35,0,0,1,0,1,1,1,1,1,1
Zoe,password123,Lima,19,0,1,1,1,1,1,1,1,0,0
Hallie,password123,Tacna,33,1,0,1,0,1,0,0,1,1,1
Harry,password123,Puno,27,0,0,1,0,0,0,0,1,1,0
Jaazib,password123,Huánuco,19,0,0,1,1,0,1,0,0,0,0
Misbah,password123,Lima,24,1,0,1,1,0,0,0,0,1,1
Eiley,password123,Madre de Dios,23,0,0,0,1,0,0,0,1,1,1
Louie,password123,San Martín,27,0,1,1,0,0,0,0,1,1,1
Kashif,password123,Ayacucho,37,0,0,1,1,1,1,1,0,1,1
Syed,password123,Puno,29,1,0,0,1,1,0,1,1,0,0
Irun Hidayat,password123,Loreto,26,1,0,1,1,1,0,0,1,0,0
Elise,password123,Tumbes,30,1,1,0,1,0,0,1,0,0,0
Rehan Khan,password123,Ucayali,37,0,0,1,0,0,1,1,0,1,0
Laura,password123,Piura,25,0,1,1,1,1,1,0,0,1,1
Finn,password123,Piura,18,1,1,0,0,0,1,1,0,1,1
Sami Satti,password123,Loreto,38,1,1,0,1,0,1,0,0,1,0
Nasir Abas,password123,Callao,26,0,1,0,1,0,1,0,0,0,0
Rana Jhangir Khan,password123,Lambayeque,24,0,1,1,1,0,1,0,1,1,0
Hasnain Niazi,password123,Huánuco,21,1,0,0,1,0,0,1,0,0,1
Marcelo,password123,Huánuco,35,0,1,1,0,1,0,1,0,0,1
Alexandra,password123,Junín,30,1,0,1,0,1,0,1,0,1,0
Mehboob Sain,password123,Puno,19,0,0,1,0,0,1,0,1,1,1
Salman,password123,Pasco,40,1,1,1,1,0,0,1,0,1,1
Daniella,password123,Moquegua,35,0,1,0,1,0,1,0,0,1,0
Elsa,password123,Piura,23,0,0,0,0,1,0,1,1,1,1
Lyra,password123,Huánuco,38,0,0,1,0,0,0,0,0,1,0
Billy,password123,Loreto,28,1,0,0,1,1,1,1,0,1,1
Kamran,password123,Tacna,18,0,1,0,1,0,0,1,0,1,1
Bilaal,password123,Amazonas,25,1,1,0,1,1,1,0,0,1,1
Omaid,password123,Moquegua,23,0,0,0,1,1,0,1,1,1,1
Hailey,password123,Piura,28,1,0,1,1,0,1,0,1,0,0
Taylor,password123,Huancavelica,27,0,1,1,0,0,0,1,1,1,0
Jacklyn,password123,Pasco,39,0,0,0,1,1,0,1,1,0,1
Zeeshan,password123,Lambayeque,40,1,0,1,1,0,1,1,0,1,0
Sanjay,password123,Lambayeque,23,0,0,0,0,0,0,1,1,0,1
Komal Khan,password123,Moquegua,37,0,1,1,0,1,1,1,0,0,1
Sheikh Madiha,password123,Cajamarca,27,1,1,0,0,0,1,1,1,0,0
Naina Sadiq,password123,Huancavelica,30,1,0,0,0,0,0,0,1,1,0
Raza Muhammadi,password123,Cajamarca,23,1,1,0,1,0,1,0,0,0,0
Morata,password123,Lima,40,1,0,1,1,1,0,0,0,0,1
Mehmood Shah,password123,La Libertad,37,0,0,1,1,1,1,0,0,0,0
Sardona Siliwangi,password123,Piura,31,1,1,0,1,0,0,0,0,0,0
Carlo,password123,Apurímac,23,0,1,1,0,1,0,1,0,0,0
Geaorge,password123,Arequipa,22,1,0,1,1,0,0,0,0,0,0
Fatima,password123,La Libertad,19,1,0,1,1,0,1,1,0,0,0
Angel,password123,Áncash,34,1,0,1,0,0,1,1,0,1,1
Indie,password123,Ayacucho,21,1,0,0,0,0,1,1,0,1,0
Luka,password123,Lima,33,0,1,1,0,0,1,1,1,0,1
Joyce,password123,Ica,28,1,0,1,1,0,0,0,0,0,1
Tania,password123,Madre de Dios,22,0,1,1,1,0,0,1,0,1,1
James,password123,La Libertad,21,0,1,1,0,1,0,1,1,1,0
Jackson,password123,Loreto,31,0,1,1,1,0,0,0,0,1,0
Haris hassan,password123,Ayacucho,35,0,1,0,0,1,1,0,1,0,1
Shehrooz,password123,Huánuco,40,1,1,0,0,0,0,1,0,1,1
Armaan,password123,Apurímac,39,1,1,1,1,1,0,1,1,1,0
Sobiya,password123,Callao,31,0,0,0,0,1,1,0,1,0,0
Sana,password123,Loreto,34,0,1,0,0,1,0,1,1,0,0
Janu ki Jaan,password123,Cajamarca,22,0,0,1,0,0,1,1,0,0,0
Isla,password123,La Libertad,24,0,1,1,1,0,0,0,0,1,1
Kian,password123,Áncash,33,1,0,0,0,0,1,1,0,1,0
Hassan,password123,Apurímac,27,1,0,0,0,0,0,0,0,1,1
Musab Sahidi,password123,Huánuco,19,1,0,0,0,0,1,0,1,1,0
Ryan,password123,Amazonas,36,0,0,1,1,1,0,1,1,1,1
Fawad,password123,Moquegua,34,1,1,1,1,0,0,0,1,0,1
Sufiyan,password123,Moquegua,27,0,1,0,1,0,1,1,0,1,1
Irafan Doggal,password123,Huánuco,22,0,0,0,0,1,0,1,1,0,0
Burhan,password123,Pasco,23,0,0,0,1,0,0,0,0,1,1
Sadiq Nawaz,password123,Junín,30,1,0,1,0,1,1,0,1,0,1
Amjad,password123,Madre de Dios,22,0,1,1,0,0,0,0,0,1,0
Alidha,password123,Piura,31,0,1,1,1,0,0,0,0,1,0
Danny,password123,Puno,31,1,1,0,1,0,1,1,0,1,1
Malik Touqeer,password123,Loreto,18,1,0,0,0,0,1,1,0,0,1
Chloe,password123,Ucayali,28,0,0,1,0,0,1,1,1,1,1
